[azuracast]: success [2025-05-06 01:03:38]: Test Mix, Uploaded to /var/azuracast/stations/2/files/mock-azuracast-1746493418300.mp3
[mixcloud]: success [2025-05-06 01:03:39]: Test Mix, Uploaded to https://www.mixcloud.com/test-dj/test-mix/
[soundcloud]: success [2025-05-06 01:03:40]: Test Mix, Uploaded to https://soundcloud.com/mock-user/test-mix
[azuracast]: success [2025-05-06 01:04:09]: Test Mix, Uploaded to /var/azuracast/stations/2/files/mock-azuracast-1746493449019.mp3
[mixcloud]: success [2025-05-06 01:04:10]: Test Mix, Uploaded to https://www.mixcloud.com/test-dj/test-mix/
[soundcloud]: success [2025-05-06 01:04:11]: Test Mix, Uploaded to https://soundcloud.com/mock-user/test-mix
[azuracast]: success [2025-05-06 01:05:40]: Test Mix, Uploaded to /var/azuracast/stations/2/files/mock-azuracast-1746493540488.mp3
[mixcloud]: success [2025-05-06 01:05:41]: Test Mix, Uploaded to https://www.mixcloud.com/test-dj/test-mix/
[soundcloud]: success [2025-05-06 01:05:42]: Test Mix, Uploaded to https://soundcloud.com/mock-user/test-mix
[azuracast]: success [2025-05-06 01:06:10]: Test Mix, Uploaded to /var/azuracast/stations/2/files/mock-azuracast-1746493569686.mp3
[mixcloud]: success [2025-05-06 01:06:10]: Test Mix, Uploaded to https://www.mixcloud.com/test-dj/test-mix/
[soundcloud]: success [2025-05-06 01:06:12]: Test Mix, Uploaded to https://soundcloud.com/mock-user/test-mix
[azuracast]: success [2025-05-06 01:07:14]: Test Mix, Uploaded to /var/azuracast/stations/2/files/mock-azuracast-1746493633609.mp3
[mixcloud]: success [2025-05-06 01:07:14]: Test Mix, Uploaded to https://www.mixcloud.com/test-dj/test-mix/
[soundcloud]: success [2025-05-06 01:07:15]: Test Mix, Uploaded to https://soundcloud.com/mock-user/test-mix
[azuracast]: success [2025-05-07 20:45:06]: Test Mix, Uploaded to /var/azuracast/stations/2/files/mock-azuracast-1746650706207.mp3
[mixcloud]: success [2025-05-07 20:45:07]: Test Mix, Uploaded to https://www.mixcloud.com/test-dj/test-mix/
[soundcloud]: success [2025-05-07 20:45:08]: Test Mix, Uploaded to https://soundcloud.com/mock-user/test-mix
